,,,,,,,,,
,Matrix Size,f,x,tf,tx,cx,cf,sx,stfc
,8,0.008,0.009,0.008,0.008,0.01,0.006,0.003,0.002
,16,0.009,0.009,0.008,0.008,0.004,0.003,0.004,0.002
,32,0.013,0.012,0.009,0.009,0.005,0.004,0.004,0.003
,64,0.03,0.029,0.015,0.015,0.007,0.007,0.006,0.004
,128,0.039,0.045,0.027,0.025,0.028,0.027,0.022,0.006
,256,0.156,0.146,0.05,0.047,0.154,0.153,0.145,0.019
,512,1.174,1.02,0.311,0.3,1.081,1.086,1.227,0.108
,1204,8.979,8.183,2.665,2.671,8.596,8.634,10.551,0.846
,2048,93.401,82.978,75.057,25.149,90.107,91.958,114.446,9.613
,4096,863.741,715.01,501.658,222.273,767.118,841.786,1036.091,66.623
,8128,,,,,,,,630.88
,10000,,,,,,,,1208.829
